Company,Title,Level,Standard Level,Location,Total Yearly Compensation,Base Salary (/year),Stock Grant (/year),Bonus (/year),Years of Experience,Years at Company,Gender
Figure,Software Engineer,3,Staff Engineer,"San Francisco, CA",440000,212000,196000,32000,11,5.5,Male
Figure,Software Engineer,2,Senior Engineer,"San Francisco, CA",196000,130000,56000,12000,0,1,Male
Figure,Software Engineer,3,Staff Engineer,"San Francisco, CA",360000,180000,100000,80000,6,0,Male
Figure,Software Engineer,2,Senior Engineer,"San Francisco, CA",268000,180000,70000,18000,10,0,Female
Figure,Software Engineer,1,Software Engineer,"San Francisco, CA",135000,110000,15000,10000,1,1,Female
Figure,Software Engineer,2,Senior Engineer,"San Francisco, CA",223000,175000,22000,26000,5,5,Male
Figure,Software Engineer,1,Software Engineer,"San Francisco, CA",98000,87000,3000,8000,1,1,Male
Figure,Software Engineer,1,Software Engineer,"San Francisco, CA",138000,94000,24000,20000,1,0,Male
Figure,Software Engineer,2,Senior Engineer,"San Francisco, CA",280000,190000,60000,30000,18,2,Male
Figure,Software Engineer,2,Senior Engineer,"San Francisco, CA",173000,130000,30000,13000,7,0,Male
Figure,Software Engineer,3,Staff Engineer,"San Francisco, CA",440000,212000,196000,32000,11,5.5,Male
Figure,Software Engineer,2,Senior Engineer,"San Francisco, CA",196000,130000,56000,12000,0,1,Male
Figure,Software Engineer,3,Staff Engineer,"San Francisco, CA",360000,180000,100000,80000,6,0,Male
Figure,Software Engineer,2,Senior Engineer,"San Francisco, CA",268000,180000,70000,18000,10,0,Female
Figure,Software Engineer,1,Software Engineer,"San Francisco, CA",135000,110000,15000,10000,1,1,Female
Figure,Software Engineer,2,Senior Engineer,"San Francisco, CA",223000,175000,22000,26000,5,5,Male
Figure,Software Engineer,1,Software Engineer,"San Francisco, CA",98000,87000,3000,8000,1,1,Male
Figure,Software Engineer,1,Software Engineer,"San Francisco, CA",138000,94000,24000,20000,1,0,Male
Figure,Software Engineer,2,Senior Engineer,"San Francisco, CA",280000,190000,60000,30000,18,2,Male
Figure,Software Engineer,2,Senior Engineer,"San Francisco, CA",173000,130000,30000,13000,7,0,Male